x,y,z
0.256981,-5.242138,5.10907
0,-5.665968,5.276721
0,-5.189792,5.090294
-0.256981,-5.242138,5.10907
0,-4.781183,4.93633
0.521355,-4.832767,4.946944
0.229955,-4.783649,4.935535
-0.521355,-4.832767,4.946944
-0.229955,-4.783649,4.935535
0,-4.384513,4.794041
0.241274,-4.385463,4.792236
-0.241274,-4.385463,4.792236
0,-4.003152,4.665325
0.794299,-4.436789,4.789573
0.487377,-4.387781,4.786473
0.248536,-4.003498,4.662989
0.500338,-4.004529,4.655856
-0.794299,-4.436789,4.789573
-0.487377,-4.387781,4.786473
-0.248536,-4.003498,4.662989
0,-3.636828,4.550128
0.253896,-3.636833,4.547445
-0.500338,-4.004529,4.655856
-0.253896,-3.636833,4.547445
0,-3.284579,4.447879
1.07609,-4.053403,4.63622
0.758047,-4.005612,4.643352
0.510303,-3.636984,4.53933
0.258132,-3.284365,4.444952
0.771457,-3.636875,4.525348
0.518351,-3.283918,4.436135
-1.07609,-4.053403,4.63622
-0.758047,-4.005612,4.643352
-0.510303,-3.636984,4.53933
-0.258132,-3.284365,4.444952
0,-2.945262,4.357828
0.261589,-2.9449,4.354728
-0.771457,-3.636875,4.525348
-0.518351,-3.283918,4.436135
-0.261589,-2.9449,4.354728
-2.87E-10,-2.617674,4.27917
1.366848,-3.681902,4.486136
1.039171,-3.636009,4.504838
0.782603,-3.282923,4.421059
0.524997,-2.944041,4.345403
0.264444,-2.617214,4.275947
1.052586,-3.281066,4.399187
0.791967,-2.942434,4.329539
0.530527,-2.616088,4.266262
-1.366848,-3.681902,4.486136
-1.039171,-3.636009,4.504838
-0.782603,-3.282923,4.421059
-0.524997,-2.944041,4.345403
-0.264445,-2.617214,4.275947
-1.47E-10,-2.300602,4.211111
0.266808,-2.300086,4.207804
-1.052586,-3.281065,4.399187
-0.791967,-2.942434,4.329539
-0.530528,-2.616089,4.266262
-0.266808,-2.300086,4.207804
0,-1.992839,4.152906
1.666671,-3.32166,4.338584
1.32975,-3.277913,4.369775
1.06409,-2.939838,4.306666
0.79984,-2.614077,4.249836
0.535124,-2.298803,4.197867
0.268754,-1.992298,4.149541
1.342794,-2.935968,4.276146
1.073883,-2.610998,4.226255
0.806425,-2.296562,4.181054
0.538916,-1.990955,4.139436
-1.666671,-3.32166,4.338584
-1.32975,-3.277913,4.369775
-1.06409,-2.939838,4.306666
-0.79984,-2.614077,4.249836
-0.535123,-2.298803,4.197867
-0.268754,-1.992298,4.149541
0,-1.693187,4.103875
0.270338,-1.692652,4.100475
-1.342794,-2.935968,4.276146
-1.073883,-2.610999,4.226255
-0.806425,-2.296562,4.181054
-0.538916,-1.990955,4.139436
-0.270338,-1.692652,4.100475
0,-1.400467,4.063418
1.97569,-2.972134,4.192837
1.629367,-2.930461,4.237172
1.354055,-2.606626,4.19495
1.082137,-2.293217,4.156991
0.811878,-1.988634,4.122366
0.542007,-1.691333,4.090262
0.271605,-1.399961,4.059998
1.641644,-2.600717,4.155207
1.363615,-2.288588,4.125165
1.088999,-1.985219,4.097994
0.816331,-1.689066,4.073032
0.544481,-1.398739,4.049721
-1.97569,-2.972134,4.192837
-1.629367,-2.930461,4.237172
-1.354054,-2.606626,4.19495
-1.082136,-2.293217,4.156991
-0.811879,-1.988634,4.122366
-0.542007,-1.691332,4.090262
-0.271605,-1.399961,4.059998
0,-1.113504,4.031022
0.272592,-1.113051,4.027592
-1.641644,-2.600717,4.155207
-1.363615,-2.288588,4.125165
-1.088999,-1.985219,4.097994
-0.816331,-1.689066,4.073032
-0.544481,-1.398739,4.049721
-0.272592,-1.113051,4.027592
0,-0.831139,4.006265
2.294084,-2.632866,4.048178
1.937888,-2.592987,4.10616
1.652153,-2.282473,4.084926
1.371595,-1.980558,4.065848
1.094612,-1.685756,4.048477
0.819898,-1.396647,4.032403
