x,y,z
0.25723,-5.233222,5.132425
0,-5.180827,5.113631
0,-5.656855,5.3
-0.25723,-5.233222,5.132425
0,-4.772478,4.959765
0.522066,-4.824167,4.970408
0.230283,-4.775031,4.959001
-0.230283,-4.775031,4.959001
-0.522066,-4.824167,4.970408
0,-4.376214,4.817623
0.241677,-4.377223,4.815836
-0.241677,-4.377223,4.815836
0,-3.995317,4.689065
0.795575,-4.428581,4.813153
0.488204,-4.379553,4.810065
0.248996,-3.995737,4.686749
0.501267,-3.996741,4.679593
-0.488204,-4.379553,4.810065
-0.795575,-4.428581,4.813153
-0.248996,-3.995737,4.686749
0,-3.629502,4.574029
0.254396,-3.629589,4.571367
-0.501267,-3.996741,4.679593
-0.254396,-3.629589,4.571367
0,-3.277792,4.47194
1.078,-4.045655,4.659912
0.759458,-3.997834,4.667069
0.511314,-3.629724,4.563231
0.258663,-3.277667,4.469033
0.772985,-3.629585,4.549212
0.519421,-3.27721,4.460195
-0.759458,-3.997834,4.667069
-1.078,-4.045655,4.659912
-0.511314,-3.629724,4.563231
-0.258663,-3.277667,4.469033
0,-2.939039,4.382041
0.262143,-2.93877,4.378959
-0.772985,-3.629585,4.549212
-0.519421,-3.27721,4.460195
-0.262143,-2.93877,4.378959
0,-2.612032,4.303525
1.369435,-3.674674,4.509928
1.041224,-3.628737,4.528669
0.784218,-3.276199,4.445084
0.526112,-2.937907,4.369613
0.265017,-2.61167,4.300318
1.054758,-3.274319,4.423161
0.793649,-2.936292,4.353714
0.531677,-2.610542,4.290611
-1.041224,-3.628737,4.528669
-1.369435,-3.674674,4.509928
-0.784218,-3.276199,4.445084
-0.526112,-2.937907,4.369613
-0.265018,-2.61167,4.300318
0,-2.295555,4.235596
0.267395,-2.295139,4.232303
-1.054758,-3.274318,4.423161
-0.793649,-2.936292,4.353714
-0.531678,-2.610543,4.290611
-0.267395,-2.295139,4.232303
0,-1.988395,4.177508
1.669958,-3.315004,4.362456
1.33248,-3.271196,4.393701
1.066347,-2.933687,4.330792
0.801572,-2.60853,4.274151
0.536301,-2.293857,4.222344
0.269352,-1.987957,4.174154
1.345638,-2.929806,4.300207
1.076205,-2.60545,4.250521
0.808196,-2.291618,4.205496
0.540114,-1.986617,4.164027
-1.33248,-3.271196,4.393701
-1.669958,-3.315004,4.362456
-1.066347,-2.933687,4.330792
-0.801572,-2.60853,4.274151
-0.5363,-2.293857,4.222344
-0.269352,-1.987957,4.174154
0,-1.689354,4.128579
0.270944,-1.688923,4.125188
-1.345638,-2.929806,4.300207
-1.076205,-2.605451,4.250521
-0.808196,-2.291618,4.205496
-0.540114,-1.986617,4.164027
-0.270944,-1.688923,4.125188
0,-1.39725,4.08821
1.979685,-2.966097,4.216765
1.63279,-2.924345,4.261169
1.356975,-2.60108,4.219152
1.084506,-2.288279,4.181384
0.813678,-1.984302,4.146922
0.543221,-1.687608,4.114953
0.272218,-1.396848,4.084795
1.645174,-2.595178,4.179329
1.366591,-2.283659,4.149494
1.091406,-1.980895,4.122499
0.818154,-1.685348,4.097686
0.545707,-1.395631,4.074497
-1.63279,-2.924345,4.261169
-1.979685,-2.966097,4.216765
-1.356974,-2.60108,4.219152
-1.084506,-2.288279,4.181384
-0.813679,-1.984302,4.146922
-0.543221,-1.687607,4.114953
-0.272218,-1.396848,4.084795
0,-1.110906,4.055887
0.273209,-1.110558,4.05246
-1.645174,-2.595178,4.179329
-1.366591,-2.283659,4.149494
-1.091406,-1.980895,4.122499
-0.818154,-1.685348,4.097686
-0.545707,-1.395631,4.074497
-0.273209,-1.110558,4.05246
0,-0.829163,4.031187
2.298782,-2.627484,4.072136
1.942009,-2.587509,4.130202
1.655744,-2.277561,4.109174
1.374614,-1.976248,4.090289
1.097047,-1.682049,4.07308
0.821738,-1.393546,4.057141
0.547643,-1.109502,4.042127
0.273949,-0.828886,4.027754
1.953205,-2.26979,4.059643
1.664582,-1.970194,4.049695
1.38118,-1.677586,4.0407
1.101565,-1.390517,4.03244
0.824527,-1.107697,4.024729
0.549088,-0.828044,4.017406
-1.942009,-2.587509,4.130202
-2.298782,-2.627484,4.072136
-1.655744,-2.277561,4.109174
-1.374613,-1.976248,4.090289
-1.097047,-1.682049,4.07308
-0.821738,-1.393546,4.057141
-0.547643,-1.109502,4.042127
-0.273949,-0.828886,4.027754
0,-0.550865,4.01378
0.27446,-0.550672,4.010345
-1.953205,-2.26979,4.059643
-1.664583,-1.970194,4.049695
-1.38118,-1.677586,4.0407
-1.101565,-1.390517,4.03244
-0.824527,-1.107697,4.024729
-0.549088,-0.828044,4.017406
-0.27446,-0.550672,4.010345
0,-0.274859,4.003429
2.627483,-2.298782,3.927859
2.260182,-2.260183,3.999997
1.962562,-1.962564,3.999995
1.671814,-1.671815,3.999995
1.386436,-1.386437,3.999994
1.10508,-1.105081,3.999994
0.826607,-0.826608,3.999994
0.550086,-0.550086,3.999994
0.27476,-0.274761,3.999995
2.269788,-1.953206,3.940348
1.970192,-1.664585,3.950294
1.677586,-1.381182,3.959288
1.390516,-1.101566,3.967547
1.107697,-0.824528,3.975259
0.828044,-0.549088,3.98258
0.550671,-0.27446,3.989644
-2.260182,-2.260183,3.999997
-2.627483,-2.298782,3.927859
