x,y,z
0.25748,-5.224305,5.155779
0,-5.171863,5.136969
0,-5.64774,5.323279
-0.25748,-5.224305,5.155779
0,-4.763773,4.983201
0.522777,-4.815567,4.993871
0.230612,-4.766413,4.982466
-0.230612,-4.766413,4.982466
-0.522777,-4.815567,4.993871
0,-4.367915,4.841206
0.242079,-4.368983,4.839436
-0.242079,-4.368983,4.839436
0,-3.987483,4.712806
0.796851,-4.420374,4.836733
0.489031,-4.371325,4.833658
0.249456,-3.987976,4.71051
0.502197,-3.988952,4.703331
-0.489031,-4.371325,4.833658
-0.796851,-4.420374,4.836733
-0.249456,-3.987976,4.71051
0,-3.622175,4.597932
0.254896,-3.622345,4.59529
-0.502197,-3.988952,4.703331
-0.254896,-3.622345,4.59529
0,-3.271006,4.496001
1.07991,-4.037908,4.683605
0.76087,-3.990057,4.690787
0.512324,-3.622463,4.587132
0.259194,-3.270969,4.493113
0.774512,-3.622295,4.573077
0.52049,-3.270502,4.484254
-0.76087,-3.990057,4.690787
-1.07991,-4.037908,4.683605
-0.512324,-3.622463,4.587132
-0.259194,-3.270969,4.493113
0,-2.932816,4.406254
0.262698,-2.932641,4.403189
-0.774512,-3.622295,4.573077
-0.52049,-3.270502,4.484254
-0.262698,-2.932641,4.403189
2.87E-10,-2.60639,4.32788
1.372022,-3.667445,4.53372
1.043277,-3.621464,4.5525
0.785834,-3.269476,4.469109
0.527227,-2.931773,4.393823
0.265589,-2.606126,4.324688
1.05693,-3.267573,4.447135
0.79533,-2.93015,4.37789
0.532827,-2.604997,4.314961
-1.043277,-3.621464,4.5525
-1.372022,-3.667445,4.53372
-0.785834,-3.269476,4.469109
-0.527227,-2.931773,4.393823
-0.26559,-2.606126,4.324688
1.47E-10,-2.290507,4.260081
0.267982,-2.290192,4.256801
-1.05693,-3.267572,4.447135
-0.79533,-2.93015,4.37789
-0.532827,-2.604998,4.314961
-0.267982,-2.290192,4.256801
0,-1.983951,4.20211
1.673245,-3.308348,4.386329
1.33521,-3.264479,4.417626
1.068605,-2.927536,4.354918
0.803304,-2.602982,4.298467
0.537478,-2.288911,4.246822
0.26995,-1.983615,4.198767
1.348483,-2.923645,4.324268
1.078526,-2.599902,4.274787
